8/5Rpp/3R4/r4bBk/3p2nP/8/6P1/6K1 w - - 22 45,0.03
8/5Rpp/3R4/r4b1k/3p2nP/8/6P1/2B3K1 b - - 23 45,0.0
8/5Rpp/3R4/r4b1k/6nP/3p4/6P1/2B3K1 w - - 0 46,0.0
8/6pp/3R4/5R2/3p2nk/8/6P1/r1B3K1 w - - 0 47,5.26
8/6Rp/3R4/r4b1k/6nP/3p4/6P1/2B3K1 b - - 0 46,0.0
8/5R1p/3R4/r4b2/6nk/3p4/6P1/2B3K1 b - - 1 47,0.0
8/1R1b2pp/6k1/3r2B1/3p2nP/5R2/6P1/6K1 w - - 16 42,0.44
8/6pp/3R4/5R1k/3p2nP/8/6P1/r1B3K1 b - - 0 46,5.09
8/5R1p/3R4/r7/4b1nk/3p4/6P1/2B3K1 w - - 2 48,1.03
8/5R1p/8/r7/3Rb1nk/3p4/6P1/2B3K1 b - - 3 48,1.01
8/5Rpp/3R4/5b1k/3p2nP/8/6P1/r1B3K1 w - - 24 46,5.31
8/6pp/3R4/8/3p2nk/8/6P1/r1B2RK1 b - - 1 47,5.41
8/1R1b2pp/8/3r1kB1/3p2nP/6R1/6P1/6K1 w - - 14 41,0.9
8/5R1p/8/r4b2/5Rnk/8/3p2P1/2B3K1 w - - 0 50,2.53
8/5R1p/8/5b2/6nk/8/3B2P1/5rK1 w - - 0 52,2.42
8/5R1p/8/r4b2/3R2nk/3p4/6P1/2B3K1 w - - 4 49,2.37
8/5R1p/8/r4b2/5Rnk/3p4/6P1/2B3K1 b - - 5 49,2.3
8/5R1p/8/5b2/6nk/8/3B2P1/5K2 b - - 0 52,2.27
8/5R1p/8/r4b2/5Rnk/8/3B2P1/6K1 b - - 0 50,2.18
8/5R1p/8/8/6nk/3b4/3B2P1/5K2 w - - 1 53,2.34
8/5R1p/8/5b2/5Rnk/8/3B2P1/r5K1 w - - 1 51,2.37
8/5R1p/8/5b2/6nk/8/3B2P1/r4RK1 b - - 2 51,2.51
8/R6p/8/8/6nk/8/2bB2P1/6K1 w - - 5 55,4.42
8/6Rp/3R4/r4b2/6nk/3p4/6P1/2B3K1 w - - 0 47,0.47
8/7p/8/8/6nk/R7/2bB2P1/6K1 w - - 9 57,99.99
8/7p/8/8/6nk/7R/2bB2P1/6K1 b - - 10 57,100.0
8/3b2pp/1R6/3r2Bk/3p2nP/5R2/6P1/6K1 w - - 18 43,0.05
8/7p/8/R7/6n1/6k1/2bB2P1/6K1 w - - 7 56,7.42
8/7p/8/R7/6nk/8/2bB2P1/6K1 b - - 6 55,4.51
8/5R1p/8/8/4b1nk/8/3B2P1/6K1 w - - 3 54,4.44
8/7p/8/8/6n1/R5k1/2bB2P1/6K1 b - - 8 56,7.36
8/5R1p/8/8/6nk/3b4/3B2P1/6K1 b - - 2 53,2.18
